PLAY_ID,Play Name,Description,Play Type,Pyramid Level,Customer Lifecycle Stage,Free v. Paid,Tier (with CS Distintions),Receiving Persona,Initiating Role,Executing Role,Status,Current Document Location,,
PLAY-001,Feature Demo/Deep Dive Enablement (ACE),"ACE Team-led feature tour and customized enablement session as structured ""micro-engagements""",Reactive Plays,Product Plays,Onboard,Paid,"Corporate, Enterprise, ECMP","Admin, Analyst","Customer Success Manager, Account Executive",ACE TEAM,Launched to Field,https://domo.dam.aprimo.com/dam/contentitems/531c4761424f4406a453b29d0134e382,,
PLAY-002,Enablement Engineering,"""Like Medical Urgent Care"" Engage with a customer to address accute enablement needs. Unlocking the next big product related capability, or a customer is stuck on eablement for things working as designed, or customer needed specific functional deepdive enablement on features for a use case.",Reactive Plays,Product Plays,"Onboard, Adopt, Expand",Free,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Analyst",Customer Success Manager,Engagement Engineers,Launched to Field,,,
PLAY-003, AI Agents & Readiness - Seamless AI integration with targeted assessments and strategies.,"Billed, Hours-Based Consulting Offering: supports organizations in preparing for and deploying AI use cases in Domo. This includes evaluating your current data landscape, identifying AI-ready use cases, recommending ML tools or integrations (such as Domo’s AI Service Layer or 3rd party connectors), and developing governance around AI usage. The goal is to enable intelligent automation, predictive insights, and human-AI collaboration through a controlled, value-driven approach.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist",Customer Success Manager,Implementation Consulting or Partner,Launched to Field,,,
PLAY-004, New Product Sprints - Launch and iterate on new products swiftly with focused sprint methodologies.,"Billed, Hours-Based Consulting Offering: enable teams to rapidly plan, document value and ROI, and prototype use cases with new features within Domo using sprint methodologies. Each sprint includes ideation, solution design, rapid development, user feedback, and iteration. This accelerates time-to-value for new dashboards, apps, and decision tools while encouraging a culture of innovation and continuous delivery.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Analyst",Customer Success Manager,Implementation Consulting or Partner,Launched to Field,,,
PLAY-005, Tech Migration - Micro proof of concept in migrating alternative tech use case to Domo.,"Billed, Hours-Based Consulting Offering: offers low-risk micro proof-of-concept engagements that test the feasibility of migrating specific reports or dashboards from legacy platforms (e.g., Tableau, Power BI, Excel) into Domo. The service evaluates data availability, visual alignment, and performance comparisons, while documenting architecture improvements and future-state efficiencies to justify broader migration plans.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP",Technologist,Customer Success Manager,Implementation Consulting or Partner,Launched to Field,,,
PLAY-006,"Advanced Marketing Data Product
Start with campaign performance and upgrade to campaign planning.","Billed, Complete Data Product with Implementation Setup Hours Offering: This end-to-end marketing operations suite streamlines campaign planning, flighting, and optimization to maximize media impact and return on investment. It ensures clean data capture with structured taxonomy and UTM tracking, accelerates campaign approvals through automated brief intake workflows, and centralizes vendor and insertion order management to reduce risk and ensure compliance. The attribution module links marketing investments to measurable business outcomes, enabling marketing teams to prove and improve the value of their efforts.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst",Customer Success Manager,Implementation Consulting or Partner,Launched to Field,,,
PLAY-007,"Advanced Roadmaps - Drive growth with detailed, strategic roadmaps aligned to your unique business goals.","Billed, Hours-Based Consulting Offering: provide a structured, strategic planning engagement that aligns Domo capabilities with your unique business goals. This service includes stakeholder alignment sessions, prioritization of initiatives, and a detailed roadmap covering quick wins and long-term goals. It ensures data, governance, and solution development are aligned with enterprise objectives, helping clients move from ad hoc reporting to scalable, value-driven insights across the organization.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-008,"Configuration Architecture -Setting up your Domo architecture for innovation, manageability, and governance.","Billed, Hours-Based Consulting Offering: focuses on building a scalable, sustainable Domo architecture from the ground up or enhancing your current setup. It includes best practices for dataset design, dataflows, user roles, PDP (Personalized Data Permissions), and page structure, all tailored to your organizational structure and data needs. This ensures the platform is optimized for governance, flexibility, performance, and ease of management.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Technologist, Admin",Customer Success Manager,Implementation Consulting or Partner,Launched to Field,,,
PLAY-009,"Custom Scoped Projects - Consulting
Implement a custom scoped projects for new development.","Billed, Hours-Based Consulting Offering: are tailored, non-billed consulting engagements focused on delivering high-impact solutions that align to strategic business goals or adoption expansion. These projects are scoped individually based on customer needs and may include custom application development, enterprise use case execution, integrations with external systems, or solutions designed to increase usage across departments. Each engagement is purpose-built to maximize ROI and drive account growth through innovation and hands-on delivery.",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Business Leader, Admin, Analyst","Customer Success Manager, Account Executive",Implementation Consulting or Partner,Launched to Field,,,
PLAY-010,Domo Architecture Assessments,"Billed, Hours-Based Consulting Offering: deliver a comprehensive evaluation of your entire Domo implementation, including data modeling, governance structures, user roles, content hierarchy, and security protocols. The assessment benchmarks your environment against Domo best practices and enterprise standards, providing a roadmap for remediation, optimization, and future readiness",Reactive Plays,Use Case Plays,"Onboard, Adopt, Expand",Paid,"Auto CSM, Corporate, Enterprise, ECMP","Admin, Technologist","Customer Success Manager, Account Executive, Professional Services, Partner",Implementation Consulting or Partner,Launched to Field,,,
