bks_account_id,bks_renewal_baseline_usd,bks_stage,bks_RC_probability,bks_renewal_amount,bks_FCST_amount,bks_renewal_date,bks_status_grouping,bks_forecast_new,bks_forecast_delta,bks_mutual_consent,bks_account_name,bks_csm_manager,bks_csm,bks_fq,bks_type,bks_ml,bks_csm_region,bks_csm_email,bks_sales_team,hgtrends_account_id,hgtrends_90day,hgtrends_180day,hgtrends_360day,hgtrends_health_gpa,hgtrends_health_grade,cons_account_id,cons_legacy_retag_or_no_overage_date,cons_purchased_credits,cons_free_credits,cons_total_standard_credits,cons_current_period_billed_credits,cons_%_of_credits_used,cons_period_%,cons_last_month_billed_credits,cons_burn_rate_last_month_annualized,account_rows,team_account_id,team_ae_assigned_date,team_csm_assigned_date,last_renewal_account_id,last_renewal_date,last_renewal_baseline,last_renewal_amount,last_renewal_downsell_flag,last_renewal_downsell_%,upsell_account_id,upsell_FQ,upsell_total_opportunities,upsell_total_acv,upsell_next_close_date,Account Id,Global Consumption Identifier,cons-am_pricing model,p.ai_meeting subject,People.ai_accountId,p.ai_date of last contact,p.ai_days since last contact,Total Active TCV,hg_support_packages,hg_billable_hours_remaining,hg_billable_hours_expiration_date,hg_total_billable_hours_purchased,hg_total_lifetime_billings,hg_acePackage,hg_aceTeamMember,Total Standard Credits Allocated,% Credits Consumed in Period,% Through Period,Expected Ending Balance,Expected Used Credits,% Pacing,account name,RCID,PRIMARY_NAME,PRIMARY_LINKEDIN_URL,COMPANY,HEADCOUNT_2022,HEADCOUNT_2023,HEADCOUNT_2024,PBI_Job_Postings_2022,PBI_Job_Postings_2023,PBI_Job_Postings_2024,Job_Postings_2022,Job_Postings_2023,Job_Postings_2024,hc_yearly_growth_avg,hc_yearly_growth_percent_avg,hc_total_growth_percent,hc_total_growth,Website Domain,sfdc_account_id,2024_arr,2023_arr,2022_arr,total_arr_growth_percent,total_arr_growth,yearly_arr_growth_percent,yearly_arr_growth,All Hours Consumed,Billable Hours Consumed,Service Team,Last Bill Date,Project Hours Purchased,Team Leads,# Active Projects,Project Name(s),Hub Hours Expiration Date,Current Adoption Engine Stage,Current Adoption Engine Stage Date,Adoption Consultants,PMO,Billable Hours Remaining,Invested Hours,Days Since Stage,Days to Renewal,Account Manager Owner,team_ae,team_csm,Domo Account Number,Account Insight AI
0015000000mHilzAAC,1452879.85,2: Determine Needs,80.0,1452879.85,1452879.85,2026-01-31,3 - WCP,1452879.85,0.0,Mutual Consent,"Telus Communications, Inc",NAM Strategic,Casey Dorman,FY26-Q4,Renewal,,NAM,casey.dorman@domo.com,NO ASSIGNED AE,0015000000mHilzAAC,0.06669999999999954,-0.0831000000000004,0.03330000000000011,3.4164,B,0015000000mHilzAAC,N/A,87818,,87818,238108,2.711380354824751,0.63,33834,5.0,1,0015000000mHilzAAC,2025-09-04T22:06:39,2022-03-16T12:05:54,0015000000mHilzAAC,2025-01-31,1359452.0,1359452.0,OTHER,0.0,0015000000mHilzAAC,2025-Q4,4,430226.0499999998,2025-09-19,0015000000mHilzAAC,Consumption,Consumption,Telus + Domo: Bi-Weekly Office Hours (General),0015000000mHilzAAC,2025-09-11T14:00:00,5,1567540.35,Platinum + Education,421.3,2023-01-27,6920.5,13496690.65,,,156557,1.5209157048231634,0.6263736263736264,-223583.5263157895,380140.5263157895,2.4281285813843487,"Telus Communications, Inc",22215957,"Telus Communications, Inc.",http://linkedin.com/company/telus-communications,"Telus Communications, Inc",2456.091064453,2232.05859375,2073.839355469,0.0,0.0,0.0,102.0,23.0,7.0,-191.12585449199992,-7.781708799733201,-15.563417599466401,-382.25170898399983,TELUS.COM,0015000000mHilzAAC,1380452.0,1380452.0,1465419.6349967928,-5.798177734733214,-84967.63499679277,-2.899088867366607,-42483.81749839638,3.75,3.75,Professional Services,2025-09-05,50.0,Mark Lees,1,"Telus Comm., Inc - Adoption Initiative: 7/25",2025-11-12,First Deliverable Complete,2025-06-27,"Nik Kumar, Mark Lees",Mark Lees,46.25,0,103,115,Taylor Rust,Tim Knight,Casey Dorman,A01429733,✅ Paid + Adoption Engine | [First Deliverable Complete] | Professional Services | N. Kumar & M. Lees | ⏳ 46h left
0015000000F3KnIAAV,996777.93,2: Determine Needs,80.0,996777.93,630000.0,2026-02-01,3 - WCP,630000.0,-366777.93000000005,Auto-Renew,FMR LLC,NAM Strategic,Katie Osteen,FY27-Q1,Renewal,,NAM,katie.osteen@domo.com,NO ASSIGNED AE,0015000000F3KnIAAV,-0.24970000000000026,-0.3664000000000005,-0.3498000000000001,2.5000999999999998,B,0015000000F3KnIAAV,N/A,85000,,85000,37281,0.4386,0.62,8031,8.0,1,0015000000F3KnIAAV,2025-09-04T22:06:39,2022-05-16T10:13:42,0015000000F3KnIAAV,2025-02-01,1066500.0,996777.93,DOWNSELL,0.07,0015000000F3KnIAAV,2026-Q1,1,59806.07999999996,2026-02-01,0015000000F3KnIAAV,Consumption,Consumption,FMR + Domo Weekly Sync,0015000000F3KnIAAV,2025-09-15T12:30:00,1,996777.93,Diamond + Education,446,2021-01-31,5722.0,8638091.73,,,85000,0.43870588235294117,0.6236263736263736,25204.581497797357,59795.41850220264,0.7034755117906193,FMR LLC,669531,FMR LLC,http://linkedin.com/company/fidelity-investments,FMR LLC,84183.9296875,91235.1640625,96112.6953125,943.0,838.0,493.0,172643.0,30836.0,13796.0,5964.3828125,7.084942262306409,14.169884524612819,11928.765625,FIDELITY.COM,0015000000F3KnIAAV,1113000.0,1457100.0,1129678.0747941658,-1.4763564210277018,-16678.07479416579,-0.7381782105138509,-8339.037397082895,62.5,62.5,Professional Services,2025-10-07,50.0,Mark Lees,1,FMR LLC - Adoption Initiative: 7/25,2025-11-12,First Deliverable In Progress,2025-07-23,"Nik Kumar, Mark Lees",Mark Lees,-12.5,0,77,116,Taylor Rust,Tim Knight,Oliver Lange,A01466365,✅ Paid + Adoption Engine | [First Deliverable In Progress] | Professional Services | N. Kumar & M. Lees ⚠️ <-12.5h overrun
0015000000FMRz2AAH,982864.48,2: Determine Needs,80.0,982864.48,982864.48,2026-01-31,3 - WCP,982864.48,0.0,Mutual Consent,"Universal Music Investments, Inc.",NAM Strategic,Mike Gardner,FY26-Q4,Renewal,,NAM,mike.gardner@domo.com,NO ASSIGNED AE,0015000000FMRz2AAH,-0.09990000000000032,-0.2501000000000002,-0.2501000000000002,3.0498,B,,,,,,,,,,,,0015000000FMRz2AAH,2025-08-04T13:14:37,2021-02-23T14:58:21,0015000000FMRz2AAH,2025-01-31,1001824.0,982864.48,DOWNSELL,0.02,0015000000FMRz2AAH,2025-Q4,2,58971.859999999986,2025-12-11,0015000000FMRz2AAH,,,Domo | Universal Music: Adoption Engine Kick-Off,0015000000FMRz2AAH,2025-06-26T15:00:00,82,982864.48,Standard,143.5,2025-01-31,305.0,6059465.58,Non-Paying,,,,,,,,"Universal Music Investments, Inc.",95276872,Universal Music Group NV,,"Universal Music Investments, Inc.",26988.982421875,27424.95703125,27200.037109375,8.0,12.0,19.0,3658.0,2952.0,1762.0,105.52734375,0.3910015653812439,0.7820031307624878,211.0546875,UNIVERSALMUSIC.COM,0015000000FMRz2AAH,1003312.2355468749,877329.4438020352,838460.0,19.661311874970174,164852.23554687493,9.830655937485087,82426.11777343747,4.25,4.25,Professional Services,2025-09-30,50.0,Steve Nielsen,1,"Universal Music Invs., Inc. - Adoption Initiative: 8/25",2025-12-06,Adoption Roadmap Started,2025-06-27,"Jenna Hiera, Steve Nielsen",Steve Nielsen,45.75,0,103,115,Taylor Rust,Jarrick Tilby,Mike Gardner,A01466416,✅ Paid + Adoption Engine | [Adoption Roadmap Started] | Professional Services | J. Hiera & S. Nielsen | ⏳ 46h left
0015000000yIb4aAAC,909824.12,2: Determine Needs,80.0,884913.56,909824.12,2026-01-30,3 - WCP,909824.12,0.0,Auto-Renew,Dal-Tile Corporation,NAM Strategic,Michael Dixon,FY26-Q4,Renewal,,NAM,michael.dixonii@domo.com,NO ASSIGNED AE,0015000000yIb4aAAC,0.09999999999999964,0.09999999999999964,-0.23350000000000026,3.083,B,,,,,,,,,,,,0015000000yIb4aAAC,2025-08-29T14:06:28,2022-05-25T20:01:15,0015000000yIb4aAAC,2023-01-30,635750.0,635750.0,OTHER,0.0,0015000000yIb4aAAC,2025-Q4,2,7950.0,2025-11-14,0015000000yIb4aAAC,,,Domo + Dal-Tile Weekly Sync,0015000000yIb4aAAC,2025-09-16T10:00:00,0,2643328.25,Gold + Education,-1962,2024-01-04,1769.0,6257939.219999999,Non-Paying,,,,,,,,Dal-Tile Corporation,491988,Dal-Tile LLC,http://linkedin.com/company/daltile,Dal-Tile Corporation,3696.984375,3708.900634766,3674.260742188,22.0,8.0,3.0,6688.0,3033.0,1637.0,-11.361816405999889,-0.30732660064325773,-0.6146532012865155,-22.723632811999778,DALTILE.COM,0015000000yIb4aAAC,877427.0399999999,819024.7045762711,635750.0,38.01447738891072,241677.03999999992,19.00723869445536,120838.51999999996,51.25,51.25,Professional Services,2025-10-07,82.0,"Brian Fentress, Dylan Jensen",2,"Dal-Tile Corp. - Custom Consulting: 6/25, Dal-Tile Corp. - Adoption Initiative: 7/25",2026-06-16,Adoption Roadmap Started,2025-08-20,"Brian Fentress, Dylan Jensen",Dylan Jensen,30.75,0,49,114,Taylor Rust,Steve Brown,Michael Dixon II,A00509038,✅ Paid + Adoption Engine | [Adoption Roadmap Started] | Professional Services | B. Fentress & D. Jensen | ⏳ 31h left
0015000000odwL5AAI,671500.0,2: Determine Needs,70.0,671500.0,350000.0,2026-02-01,4 - RISK,350000.0,-321500.0,Auto-Renew,"Bass Pro, LLC",NAM Strategic,Casey Dorman,FY27-Q1,Renewal,,NAM,casey.dorman@domo.com,Enterprise,0015000000odwL5AAI,-0.41670000000000007,-0.5669000000000004,0.09979999999999967,2.7331,B,0015000000odwL5AAI,N/A,650000,20000,670000,495106,0.7389641791044776,0.62,69079,124.0,1,0015000000odwL5AAI,2025-02-26T22:32:44,2021-09-17T10:24:09,0015000000odwL5AAI,2025-02-01,941567.8,671500.0,DOWNSELL,0.29,0015000000odwL5AAI,2026-Q1,1,46650.0,2026-02-01,0015000000odwL5AAI,Consumption,Consumption,Bass Pro + Domo Bi-Weekly Status Sync,0015000000odwL5AAI,2025-09-05T09:30:00,11,679890.0,Platinum + Education,-30.75,2026-01-31,349.0,7996680.52,,,670000,0.7389701492537314,0.6236263736263736,-123920.8810572687,793920.8810572687,1.1849565388914458,"Bass Pro, LLC",763909,Great Outdoors Group LLC (Missouri),http://linkedin.com/company/bassproshops,"Bass Pro, LLC",17074.888671875,17155.88671875,16827.8203125,10.0,6.0,12.0,18521.0,16067.0,18415.0,-123.5341796875,-0.723484539556501,-1.446969079113002,-247.068359375,BASSPRO.COM,0015000000odwL5AAI,962567.8,916000.0,895983.5,7.4314203330753354,66584.30000000005,3.7157101665376677,33292.15000000002,19.5,19.5,Professional Services,2025-10-03,50.0,Dylan Jensen,1,"Bass Pro, LLC - Adoption Initiative: 7/25",2025-11-03,Adoption Roadmap Started,2025-08-20,"Scott Thompson, Dylan Jensen",Dylan Jensen,30.5,0,49,116,William Dubois,Kevin Wilck,Casey Dorman,A01405442,✅ Paid + Adoption Engine | [Adoption Roadmap Started] | Professional Services | S. Thompson & D. Jensen | ⏳ 30.5h left
0015000000Yrl38AAB,622750.0,3: Demonstrate Value,80.0,622750.0,622750.0,2026-01-01,3 - WCP,622750.0,0.0,Mutual Consent,United Parcel Service Oasis Supply Corporation,NAM Strategic,Casey Dorman,FY26-Q4,Renewal,,NAM,casey.dorman@domo.com,Enterprise,0015000000Yrl38AAB,-1.0667,-1.1500000000000004,-0.2166999999999999,3.133,B,0015000000Yrl38AAB,N/A,275000,,275000,210569,0.7657054545454546,0.71,27343,119.0,1,0015000000Yrl38AAB,2025-02-26T22:21:41,2022-10-13T11:19:01,0015000000Yrl38AAB,2025-01-01,949500.0,622750.0,DOWNSELL,0.34,,,,,,0015000000Yrl38AAB,Consumption,Consumption,UPS + Domo: Bi-Weekly Status Sync & Technical Office Hours,0015000000Yrl38AAB,2025-09-16T09:30:00,0,630700.0,Gold + Education,-1.14,2024-11-13,1732.0,2287628.08,,,275000,0.76572,0.7087912087912088,-22087.48837209295,297087.48837209295,1.0803181395348835,United Parcel Service Oasis Supply Corporation,22142761,"United Parcel Service, Inc.",http://linkedin.com/company/ups,United Parcel Service Oasis Supply Corporation,219806.703125,214819.5,208839.875,198.0,342.0,1256.0,115397.0,63481.0,148917.0,-5483.4140625,-2.4946527947246833,-4.9893055894493665,-10966.828125,UPS.COM,0015000000Yrl38AAB,630700.0,179634.1268292683,178321.91999999998,253.68618731785753,452378.08,126.84309365892877,226189.04,366.5,364,Professional Services,2025-10-10,581.0,"Steve Nielsen, Mamta Bolaki, Dylan Jensen",3,"United Parcel Service Oasis Supply Corp. - Custom Consulting: 1/25, UPS - Embed Solutions for Symphony App (Service Days), United Parcel Service Oasis Supply Corp. - Adoption Initiative: 7/25",2025-12-31,First Deliverable Scoped,2025-06-30,"Scott Thompson, Dylan Jensen",Dylan Jensen,217,2.5,100,85,William Dubois,Kevin Wilck,Casey Dorman,A01416428,✅ Paid + Adoption Engine | [First Deliverable Scoped] | Professional Services | S. Nielsen & D. Jensen | ⏳ 217h left
0015w00002a1T9QAAU,553852.2,Closed Won,90.0,553852.2,553852.2,2026-01-01,7 - Closed Won,553852.2,0.0,Mutual Consent,"IPG Health, LLC",NAM Strategic,Joe Pecora,FY26-Q4,Multi-Year Renewal,,NAM,joe.pecora@domo.com,Enterprise,0015w00002a1T9QAAU,-0.3999999999999999,-0.2834000000000003,-0.06700000000000017,3.283,B,0015w00002a1T9QAAU,N/A,499474,,499474,179660,0.3596984027196611,0.71,20509,49.0,1,0015w00002a1T9QAAU,2025-03-13T13:46:17,2024-08-05T11:20:39,0015w00002a1T9QAAU,2024-01-01,492500.0,492500.0,OTHER,0.0,0015w00002a1T9QAAU,2025-Q4,1,0.0,2025-11-02,0015w00002a1T9QAAU,Consumption,Consumption,IPG And Domo weekly business sync,0015w00002a1T9QAAU,2025-09-12T08:30:00,4,1674351.0,Platinum + Education,190.5,2023-03-30,564.0,1981499.75,Non-Paying,,499474,0.35970841325073977,0.7087912087912088,245993.1472868217,253480.8527131783,0.5074955907878654,"IPG Health, LLC",4300920,IPG Health LLC,http://linkedin.com/company/ipg-health,"IPG Health, LLC",755.131530762,911.51940918,1045.655273438,3.0,2.0,4.0,1182.0,718.0,546.0,145.261871338,19.236631688709497,38.473263377418995,290.523742676,IPGHEALTH.COM,0015w00002a1T9QAAU,549500.3,500000.0,360000.0,52.638972222222236,189500.30000000005,26.319486111111118,94750.15000000002,8.75,8.75,Professional Services,2025-10-06,50.0,Mark Lees,1,"IPG Health, LLC - Adoption Initiative: 8/25",2025-12-16,First Deliverable In Progress,2025-08-20,"Shane Wright, Mark Lees",Mark Lees,41.25,0,49,85,William Dubois,Michael Napoli,Joe Pecora,A03771676,✅ Paid + Adoption Engine | [First Deliverable In Progress] | Professional Services | S. Wright & M. Lees | ⏳ 41h left
0015000000seVRlAAM,492750.12,4: Confirm Solution,80.0,492750.12,492750.12,2025-10-28,3 - WCP,492750.12,0.0,Auto-Renew,"Port Logistics Group, LLC",NAM Enterprise,Rob Staples,FY26-Q3,Renewal,,NAM,rob.staples@domo.com,Corporate,0015000000seVRlAAM,0.016599999999999948,-0.06699999999999973,0.8172000000000001,3.5168000000000004,A,0015000000seVRlAAM,N/A,575000,1000000,1575000,1241533,0.7882749206349207,0.89,93736,247.0,1,0015000000seVRlAAM,2025-02-27T01:18:17,2021-04-26T11:48:51,0015000000seVRlAAM,2024-10-28,463031.04,463031.04,OTHER,0.0,0015000000seVRlAAM,2025-Q3,1,84734.47999999998,2025-10-28,0015000000seVRlAAM,Consumption,Consumption,Domo | PLG - Renewal options,0015000000seVRlAAM,2025-08-28T10:30:00,19,500250.12,Gold + Education,40,2024-10-28,461.0,2514627.55,,,1575000,0.7882812698412699,0.8873626373626373,175861.75851393165,1399138.2414860683,0.8883417406260751,"Port Logistics Group, LLC",995368,"Whiplash, Inc. (California)",http://linkedin.com/company/whiplash,"Port Logistics Group, LLC",770.264648438,742.203063965,707.791503906,,,,124.0,4.0,1.0,-31.236572265999996,-4.055303891895317,-8.110607783790634,-62.47314453199999,PORTLOGISTICSGROUP.COM,0015000000seVRlAAM,500250.12,467710.25248115754,289341.08,72.89287784506783,210909.03999999998,36.446438922533915,105454.51999999999,0,0,'-NA-,,0.0,'-NA-,0,,,Backlog,2025-09-08,"Jenna | Scott Thompson, Ivan Savinon",Ivan Savinon,0,0,30,20,Keith White,Neil McGoldrick,Rob Staples,A01378598,👥 Adoption Engine only | [Backlog] | Jenna & Scott Thompson
0015000000grkrBAAQ,452039.4,Closed Won,100.0,452039.4,452039.4,2025-12-29,7 - Closed Won,452039.4,0.0,Auto-Renew,"Packsize International, LLC",NAM Corporate,Meshell Long,FY26-Q4,Multi-Year Renewal,,NAM,meshell.long@domo.com,Corporate,0015000000grkrBAAQ,-0.6502999999999997,-0.03329999999999966,0.18310000000000048,3.1332000000000004,B,0015000000grkrBAAQ,2026-12-28,75600,55555,131155,108986,0.8309709885250276,0.72,22399,205.0,1,0015000000grkrBAAQ,2025-02-27T01:09:01,2024-02-27T12:38:55,0015000000grkrBAAQ,2024-12-29,384000.0,384000.0,OTHER,0.0,0015000000grkrBAAQ,2026-Q3,1,0.0,2026-08-27,0015000000grkrBAAQ,Consumption,Consumption,Domo | Packsize Working Session ,0015000000grkrBAAQ,2025-08-29T11:00:00,18,904078.8,Standard,-39,2025-12-29,8.0,2250344.0599999996,,,131155,0.830993862224086,0.717032967032967,-20844.98467432952,151999.98467432952,1.1589339687722886,"Packsize International, LLC",906380,Packsize International LLC,http://linkedin.com/company/packsize,"Packsize International, LLC",900.352355957,1022.658630371,1128.25402832,6.0,1.0,7.0,880.0,502.0,624.0,113.95083618150005,12.656249014907031,25.312498029814062,227.9016723630001,PACKSIZE.COM,0015000000grkrBAAQ,452039.4,315000.0,315000.0,43.50457142857144,137039.40000000002,21.75228571428572,68519.70000000001,55.75,52.75,Professional Services,2025-10-03,50.0,Ankit Somani,1,"Packsize Intl., LLC - Adoption Initiative: 7/25",2025-11-22,Adoption Roadmap Complete,2025-09-05,"Jenna Hiera | Scott Thompson, Ivan Savinon",Ivan Savinon,-2.75,3,33,82,Keith White,Neil McGoldrick,Madison Humble,A01419324,✅ Paid + Adoption Engine | [Adoption Roadmap Complete] | Professional Services | J. Hiera & S. Thompson ⚠️ <2.75>h overrun
0013800001Bc80KAAR,377688.96,Closed Won,90.0,377688.96,377688.96,2025-07-28,7 - Closed Won,377688.96,0.0,Mutual Consent,"Eight Eleven Group, LLC",NAM Sr Corporate,Jennee Moore,FY26-Q2,Multi-Year Renewal,,NAM,jennee.moore@domo.com,Corporate,0013800001Bc80KAAR,-0.13329999999999975,-0.23349999999999982,-0.016799999999999482,3.1999000000000004,B,0013800001Bc80KAAR,N/A,70432,,70432,44262,0.6284359382099046,0.14,24093,410.0,1,0013800001Bc80KAAR,2025-05-28T14:30:52,2024-08-08T09:45:55,0013800001Bc80KAAR,2024-07-28,307236.0,307236.0,OTHER,0.0,0013800001Bc80KAAR,2025-Q4,1,0.0,2025-12-31,0013800001Bc80KAAR,Consumption,Consumption,Domo + Eight Eleven | Credit Discussion,0013800001Bc80KAAR,2025-07-28T11:00:00,50,1113340.99,Standard,10,2025-07-28,457.0,2537602.75,Non-Paying,,70432,0.6284643343934575,0.13736263736263737,-251809.91999999998,322241.92,4.575220354384371,"Eight Eleven Group, LLC",2481197,Brooksource,http://linkedin.com/company/brooksource,"Eight Eleven Group, LLC",1868.356079102,1802.110351562,1829.131469727,224.0,168.0,189.0,10159.0,6392.0,5428.0,-19.6123046875,-1.049709148425625,-2.09941829685125,-39.224609375,BROOKSOURCE.COM,0013800001Bc80KAAR,348000.32999999996,297236.0,272236.0,27.83038613555884,75764.32999999996,13.91519306777942,37882.16499999998,0,0,'-NA-,,0.0,'-NA-,0,,,'-NA-,,'-NA-,,0,0,,-72,Keith White,Neil McGoldrick,Madison Humble,A03074978,⚠️ No firepower
